,Unnamed: 5,Unnamed: 6,Growth,Tags
Index Number,C1) Funding FY2008,C2) Funding FY2009,percentGrowth,Target
PRG_0146,3.4,3.4,0.0,0
PRG_0147,2,2,0.0,0
PRG_0150,0,5,100,1
PRG_0152,0.55,0.663,20.545454545454543,1
PRG_0153,0,0.7,100,1
PRG_0154,0,0.478,100,1
PRG_0155,1.387,1.75,26.17159336697909,1
PRG_0156,0.496,0.95,91.53225806451613,1
PRG_0157,2.3,6.4,178.26086956521743,1
PRG_0158,3.4,3.3,-2.941176470588238,0
PRG_0160,0,0,100,1
PRG_0161,0,0,100,1
PRG_0162,0.734,0.774,5.449591280653956,1
PRG_0163,0.37,0.37,0.0,0
PRG_0164,0.75,0.8,6.666666666666672,1
PRG_0165,1.472,1.422,-3.396739130434786,0
PRG_0166,0.516752,0.530889,2.735741709756337,1
PRG_0167,6.8,6.8,0.0,0
PRG_0168,0.75,0.75,0.0,0
PRG_0169,1.849,3.768,103.78583017847485,1
PRG_0170,0.25,1.542,516.8000000000001,1
PRG_0171,0,0,100,1
PRG_0172,1.67,1.763,5.5688622754491,1
PRG_0173,0.188,0.21,11.702127659574463,1
PRG_0174,2.583,2.497,-3.329461866047243,0
PRG_0175,0.319,0.292,-8.463949843260195,0
PRG_0180,76.295,52.216,-31.560390589160498,0
PRG_0181,2.453296,10.67056,334.94792312056927,1
PRG_0182,6.4544,5.136896,-20.412493802677236,0
PRG_0183,179,179,0.0,0
PRG_0184,0,0,100,1
PRG_0185,1,1,0.0,0
PRG_0186,1,1,0.0,0
PRG_0187,30,31,3.3333333333333335,1
PRG_0188,8.577,8.577,0.0,0
PRG_0189,4.74,8.944,88.69198312236288,1
PRG_0190,100,100,0.0,0
PRG_0191,13.9,3.5,-74.82014388489209,0
PRG_0192,15.44,38.63,150.19430051813475,1
PRG_0193,31.186306,35.203799,12.882234272953003,1
PRG_0200,0.577,0.568,-1.5597920277296375,0
PRG_0201,3.831236,7.703702,101.07615401400487,1
PRG_0203,2.75,2.711,-1.4181818181818235,0
PRG_0204,13.92,14.984,7.643678160919541,1
PRG_0205,0.492,0.519,5.487804878048785,1
PRG_0207,9.55,9.7,1.5706806282722363,1
PRG_0208,0.983,0.983,0.0,0
PRG_0209,5.385,5.654,4.995357474466112,1
PRG_0210,0,0.75,100,1
PRG_0212,1.921,1.847,-3.852160333159816,0
PRG_0213,4.72,4.72,0.0,0
PRG_0214,1.458,0.958,-34.29355281207133,0
PRG_0215,0,0,100,1
PRG_0218,1.259,1.26,0.07942811755362288,1
PRG_0219,70.562578,83.425884,18.229642913556805,1
PRG_0220,259.076349,266.467113,2.8527358936959506,1
PRG_0221,47.571373,55.551807,16.775706683933624,1
PRG_0223,16.764,21.249,26.75375805297065,1
PRG_0224,0.318,0.33,3.7735849056603805,1
PRG_0225,0.677,0.746,10.192023633677984,1
PRG_0226,16.443,22.335,35.832877212187555,1
PRG_0227,18.57,25.69,38.341410877759834,1
PRG_0228,3.995,7.26,81.72715894868585,1
PRG_0229,1.287,2.18,69.3861693861694,1
PRG_0230,3.029,6.725,122.02046880158468,1
PRG_0231,16.183,22.209,37.236606315269114,1
PRG_0233,6.753,7.311,8.262994224788981,1
PRG_0234,16.209,18.992,17.169473749151713,1
PRG_0235,0,1.449,100,1
PRG_0236,2.047,3.168,54.76306790425012,1
PRG_0238,0.476,0.486,2.1008403361344556,1
PRG_0240,0.568,0.763,34.330985915492974,1
PRG_0242,0.348,0.711,104.3103448275862,1
PRG_0245,0.254,0.713,180.70866141732282,1
PRG_0246,0.7,0.924,32.000000000000014,1
PRG_0247,17.6,16.6,-5.681818181818182,0
PRG_0249,21.54,21.48,-0.27855153203342026,0
PRG_0250,5.775,5.115,-11.42857142857143,0
PRG_0251,2.135,2.135,0.0,0
PRG_0252,2.2,2.3,4.545454545454529,1
PRG_0256,0.761,0.358,-52.95663600525624,0
PRG_0258,2.096,2.107,0.5248091603053493,1
PRG_0259,1,1,0.0,0
PRG_0262,0.405,0.425,4.938271604938262,1
PRG_0265,2.164,2.464,13.863216266173742,1
PRG_0267,0.263,0,-100.0,0
PRG_0269,1.439,2.879,100.06949270326615,1
PRG_0270,4.7,10.1,114.89361702127658,1
PRG_0271,0.5,0.5,0.0,0
PRG_0272,5.17,0,-100.0,0
PRG_0273,0.189,0.6,217.46031746031744,1
PRG_0274,2.242,2.242,0.0,0
PRG_0275,26.367,26.316,-0.19342359767892417,0
PRG_0278,1.602503,1.738628,8.49452387920647,1
PRG_0279,3.06,3.06,0.0,0
PRG_0280,9.725443,9.3865,-3.4851163078124094,0
PRG_0282,0,8.4,100,1
PRG_0283,0,1.8,100,1
PRG_0284,0,0,100,1
PRG_0285,0.709,0.761,7.334273624823702,1
PRG_0286,0,0,100,1
PRG_0287,0,0,100,1
PRG_0289,0,0,100,1
PRG_0290,0.1,0.2,100.0,1
PRG_0291,16.577,17.28,4.240815587862698,1
PRG_0292,2.82,3.501562,24.16886524822695,1
PRG_0293,0.826,0.826,0.0,0
PRG_0294,1.245,2.53,103.21285140562246,1
PRG_0295,5.8,6.327,9.086206896551726,1
PRG_0296,2.8,2.9,3.5714285714285747,1
PRG_0297,6.36,2.976,-53.20754716981132,0
PRG_0298,0.510895,0.627349,22.794116207831365,1
PRG_0299,3.97,5.6,41.05793450881611,1
PRG_0300,0,0.9,100,1
PRG_0301,74.439,83.4526,12.10870645763647,1
PRG_0302,1.961,1.989,1.4278429372769008,1
PRG_0303,1.114,1.13,1.436265709156175,1
PRG_0306,0.642,0.648,0.9345794392523372,1
PRG_0308,13.2,14.1,6.818181818181822,1
PRG_0310,1,1.418,41.79999999999999,1
PRG_0311,0.4681,0.61983,32.414014099551366,1
PRG_0312,10.330879,14.660634,41.910809331906805,1
PRG_0313,0,1.5,100,1
PRG_0314,3.5,2.5,-28.57142857142857,0
PRG_0315,3.8,3.8,0.0,0
PRG_0316,0.17,0.272,60.0,1
PRG_0317,0.177,0.224,26.55367231638419,1
PRG_0318,0.366,0.46,25.683060109289624,1
PRG_0319,28.72,27.86,-2.99442896935933,0
PRG_0320,92.4,61.22,-33.74458874458875,0
PRG_0321,10.13,11.4,12.537018756169788,1
PRG_0324,9.9,0,-100.0,0
PRG_0325,0.476,0.486,2.1008403361344556,1
PRG_0326,0,0,100,1
PRG_0327,194,341,75.77319587628865,1
,2796.8356670000016,3354.390546000001,19.935203400708026,1
